City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Puerto Boyaca,CO,5.9758,-74.5885,74.61,95,100,1.05,overcast clouds
244,Sechura,PE,-5.5569,-80.8222,73.02,72,13,13.18,few clouds
245,Beyneu,KZ,45.3167,55.2,23.29,85,51,4.74,broken clouds
246,Venezuela,VE,8.0,-66.0,80.49,64,99,14.25,overcast clouds
247,Mukhen,RU,48.1,136.1,3.9,83,39,2.75,scattered clouds
248,Asau,RO,46.4333,26.4,25.95,61,22,7.31,few clouds
249,Buala,SB,-8.145,159.5921,85.82,71,100,8.84,light rain
250,Maceio,BR,-9.6658,-35.7353,78.24,83,0,1.14,clear sky
251,Ornskoldsvik,SE,63.2909,18.7153,13.15,85,100,4.61,overcast clouds
252,Tazovskiy,RU,67.4667,78.7,4.87,93,100,14.43,overcast clouds
253,Benguela,AO,-12.5763,13.4055,72.43,79,96,2.1,overcast clouds
254,Sarab,IR,38.6066,44.9883,2.17,81,71,3.42,broken clouds
255,Yaypan,UZ,40.3758,70.8156,38.17,44,100,1.03,overcast clouds
256,Talnakh,RU,69.4865,88.3972,11.14,91,100,11.23,overcast clouds
257,Guadalupe Y Calvo,MX,26.1,-106.9667,36.5,44,1,5.01,clear sky
258,Tuatapere,NZ,-46.1333,167.6833,60.82,65,41,14.0,scattered clouds
259,Vardo,NO,70.3705,31.1107,24.76,83,29,17.65,scattered clouds
260,Honningsvag,NO,70.9821,25.9704,28.94,69,100,27.02,overcast clouds
261,Pyapon,MM,16.2833,95.6833,77.14,46,91,5.79,overcast clouds
262,Urumqi,CN,43.801,87.6005,14.95,93,75,2.24,fog
263,Nalut,LY,30.3333,10.85,46.45,44,98,6.89,overcast clouds
264,Caico,BR,-6.4583,-37.0978,80.11,62,77,10.83,broken clouds
265,Urubicha,BO,-15.3833,-62.95,70.9,99,100,3.11,overcast clouds
266,Verkhoyansk,RU,67.5447,133.385,-34.71,96,61,1.34,broken clouds
267,Whitianga,NZ,-36.8333,175.7,71.35,58,24,7.65,few clouds
268,Yerbogachen,RU,61.2767,108.0108,-5.67,99,71,5.19,broken clouds
269,Smithers,CA,54.7804,-127.1743,34.12,93,75,3.44,broken clouds
270,Tadine,NC,-21.55,167.8833,83.7,73,40,5.97,scattered clouds
271,Lardos,GR,36.0942,28.0157,52.95,79,100,12.03,overcast clouds
272,Wanning,CN,18.8003,110.3967,76.17,78,47,5.57,scattered clouds
273,Saint George,US,37.1041,-113.5841,49.24,40,100,11.01,overcast clouds
274,Damghan,IR,36.1683,54.348,17.17,47,0,5.5,clear sky
275,Port Blair,IN,11.6667,92.75,82.44,74,20,5.75,few clouds
276,Rio Grande,BR,-32.035,-52.0986,80.71,90,22,13.53,few clouds
277,Guerrero Negro,MX,27.9769,-114.0611,61.32,73,0,13.11,clear sky
278,Canutama,BR,-6.5339,-64.3831,73.27,99,100,1.77,light rain
279,Celestun,MX,20.8667,-90.4,73.2,87,50,9.37,scattered clouds
280,Shingu,JP,33.7333,135.9833,47.39,40,68,3.22,broken clouds
281,Waipawa,NZ,-41.4122,175.5153,74.03,50,0,4.12,clear sky
282,Nyurba,RU,63.2842,118.3319,-6.9,97,68,7.54,broken clouds
283,Salalah,OM,17.0151,54.0924,66.29,10,4,19.57,dust
284,Alamosa,US,37.4695,-105.87,28.38,86,100,11.5,light snow
285,Taoudenni,ML,22.6783,-3.9836,62.73,21,88,8.41,overcast clouds
286,Smoky Lake,CA,54.1169,-112.4686,15.49,79,100,6.91,light snow
287,Lasa,IT,46.6166,10.7002,29.28,79,2,8.46,clear sky
288,Port Lincoln,AU,-34.7333,135.8667,73.81,84,80,14.61,broken clouds
289,Mandalgovi,MN,45.7625,106.2708,8.73,65,100,6.53,overcast clouds
290,Ahipara,NZ,-35.1667,173.1667,72.97,55,51,2.46,broken clouds
291,Mitsamiouli,KM,-11.3847,43.2844,77.29,94,40,5.75,light rain
292,Tacoronte,ES,28.4769,-16.4102,58.17,82,40,1.99,scattered clouds
293,Mao,ES,39.8885,4.2658,46.96,76,75,11.5,broken clouds
294,Tasiilaq,GL,65.6145,-37.6368,14.16,51,24,10.47,few clouds
295,Saint-Joseph,RE,-21.3667,55.6167,80.98,82,20,13.53,few clouds
296,Wanaka,NZ,-44.7,169.15,86.11,25,25,7.0,scattered clouds
297,Qaqortoq,GL,60.7167,-46.0333,9.1,74,100,6.08,overcast clouds
298,Prado,BR,-17.3411,-39.2208,75.15,92,62,7.38,broken clouds
299,Riccione,IT,44.0051,12.6447,40.82,89,0,2.3,mist
300,Oktyabrskiy,RU,54.4815,53.471,2.14,100,88,4.16,overcast clouds
301,Birjand,IR,32.8663,59.2211,19.87,79,0,4.61,clear sky
302,Lahaina,US,20.8783,-156.6825,78.94,87,6,8.28,clear sky
303,Eyl,SO,7.9803,49.8164,73.22,78,82,16.91,broken clouds
304,Oum Hadjer,TD,13.2954,19.6966,63.45,16,0,9.19,clear sky
305,Mugur-Aksy,RU,50.35,90.5,-3.06,89,43,5.35,scattered clouds
306,Flic En Flac,MU,-20.2742,57.3631,83.52,84,38,18.1,scattered clouds
307,Bay Roberts,CA,47.5999,-53.2648,22.33,77,100,1.99,overcast clouds
308,Vytegra,RU,61.0064,36.4481,16.34,95,100,4.43,overcast clouds
309,Armidale,AU,-30.5167,151.65,66.81,55,74,9.55,broken clouds
310,Nabire,ID,-3.3667,135.4833,87.78,62,71,5.03,broken clouds
311,Grindavik,IS,63.8424,-22.4338,37.87,70,75,32.21,broken clouds
312,Khokhlovo,RU,59.1492,37.3998,15.82,94,100,8.7,overcast clouds
