City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
421,Moroni,KM,77.0,scattered clouds,-11.7022,43.2551,Hotel les Arcades
425,Tinambacan,PH,80.46,overcast clouds,12.0928,124.5025,Vacation Condotel for Couples or Family near Airport and Beaches
434,Hobyo,SO,78.8,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
436,Pangai,TO,81.45,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
443,Ulladulla,AU,75.78,scattered clouds,-35.35,150.4667,Sandpiper Motel
444,Kapasan,ID,79.54,overcast clouds,-6.7773,111.3789,Perum Perhutani Kph Mantingan
445,Tevaitoa,PF,80.06,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
458,Esperance,AU,80.44,few clouds,-33.8667,121.9,Hospitality Esperance
470,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
476,Manavalakurichi,IN,84.29,overcast clouds,8.1333,77.3,Jebinrio home
477,Tual,ID,81.9,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
481,Santa Marta,CO,82.89,few clouds,11.2408,-74.199,Casa de Isabella
483,Grand Gaube,MU,84.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
489,Manokwari,ID,82.2,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
490,The Valley,AI,78.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
494,Vredendal,ZA,81.01,clear sky,-31.6683,18.5012,Tharrakamma Guest House
504,La Asuncion,VE,78.53,broken clouds,11.0333,-63.8628,Colinas de Matasiete
506,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
511,Ternate,ID,80.89,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
516,Kavaratti,IN,79.59,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
519,Mayumba,GA,76.26,overcast clouds,-3.432,10.6554,LIKWALE LODGE
525,Vieques,PR,77.04,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
533,Ballina,AU,76.96,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
536,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
548,Tecoanapa,MX,75.99,few clouds,16.5167,-98.75,Hotel Manglares
554,Sambava,MG,75.67,light rain,-14.2667,50.1667,Melrose
564,Porto Murtinho,BR,78.1,clear sky,-21.6989,-57.8825,Hotel Pantanal
568,Alice Town,BS,75.4,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
569,Flinders,AU,78.8,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
570,Panama City,PA,82.06,few clouds,8.9936,-79.5197,Riande Urban Hotel
572,Hambantota,LK,75.34,scattered clouds,6.1241,81.1185,Bungalow 63
573,Bell Ville,AR,75.67,scattered clouds,-32.6259,-62.6887,Hotel Central
579,Moree,AU,82.42,overcast clouds,-29.4667,149.85,Molika Springs Motel
582,Le Port,RE,82.4,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
585,Faanui,PF,81.41,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
586,Aden,YE,76.06,clear sky,12.7794,45.0367,Sama Emirate Hotel
589,Prieska,ZA,76.91,broken clouds,-29.6641,22.7474,Avenue GuestHouse
594,Dicabisagan,PH,75.72,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
598,Port-Gentil,GA,79.11,light rain,-0.7193,8.7815,Fengshui Residence
611,Victor Harbor,AU,75.2,light rain,-35.5667,138.6167,McCracken Country Club
615,Omboue,GA,75.81,light rain,-1.5746,9.2618,Hotel Olako
621,Baculin,PH,75.07,light rain,7.4525,126.5842,Baculin Cove Beach Resort
622,Kalmunai,LK,76.68,scattered clouds,7.4167,81.8167,VS Villa
630,Champerico,GT,78.04,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
632,Seropedica,BR,76.59,broken clouds,-22.7439,-43.7075,Pousada Vila do Celso
633,Bambanglipuro,ID,83.73,overcast clouds,-7.95,110.2833,Puri Brata
635,Bac Lieu,VN,83.03,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
637,Lazaro Cardenas,MX,75.54,overcast clouds,17.9583,-102.2,quinta antigua
642,Vila Velha,BR,76.95,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
653,Labuhan,ID,83.98,overcast clouds,-6.8844,112.2051,DoubleFAG
655,Weligama,LK,80.17,overcast clouds,5.9667,80.4167,Weligama Bay Resort
657,Bontang,ID,83.62,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
661,Chinchani,IN,75.96,scattered clouds,19.8667,72.7,Vasantshrushti Farm
664,Ciudad Bolivar,VE,75.29,scattered clouds,8.1222,-63.5497,Hotel Edi
671,Nisia Floresta,BR,79.18,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
683,Lakes Entrance,AU,84.58,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
690,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
