City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Fort Nelson,CA,2022-01-21 01:49:17,58.8053,-122.7002,-0.81,71,75,12.66
173,Kano,NG,2022-01-21 01:44:30,12.0001,8.5167,56.68,22,9,10.98
174,Mortara,IT,2022-01-21 01:49:18,45.2473,8.7355,43.25,58,0,5.75
175,Great Neck,US,2022-01-21 01:49:18,40.8007,-73.7285,28.96,52,75,3.0
176,Husavik,IS,2022-01-21 01:49:18,66.0449,-17.3389,49.91,78,100,19.69
177,Wahiawa,US,2022-01-21 01:49:18,21.5028,-158.0236,79.12,63,40,5.75
178,Lagoa Nova,BR,2022-01-21 01:49:19,-6.1,-36.4833,70.72,82,21,9.04
179,Plymouth,US,2022-01-21 01:49:19,41.8334,-70.8328,31.78,62,0,1.01
180,Katherine,AU,2022-01-21 01:49:19,-14.4667,132.2667,89.92,58,100,3.44
181,Finnsnes,NO,2022-01-21 01:49:19,69.2296,17.9811,22.96,94,100,1.97
182,Zhurivka,UA,2022-01-21 01:49:20,50.5028,31.7849,28.38,86,74,11.99
183,Sao Filipe,CV,2022-01-21 01:49:20,14.8961,-24.4956,72.82,78,100,4.09
184,Luang Prabang,LA,2022-01-21 01:50:20,19.8856,102.1347,64.36,94,75,0.0
185,Guangyuan,CN,2022-01-21 01:50:20,32.442,105.823,43.34,93,100,3.44
186,Khudumelapye,BW,2022-01-21 01:50:21,-23.8833,24.75,70.77,56,100,5.46
187,Acapulco,MX,2022-01-21 01:47:07,16.8634,-99.8901,76.95,78,14,6.8
188,Mar Del Plata,AR,2022-01-21 01:50:21,-38.0023,-57.5575,72.09,99,100,13.0
189,Abu Kamal,SY,2022-01-21 01:50:21,34.4506,40.9171,36.07,54,3,7.94
190,Bongaree,AU,2022-01-21 01:50:22,-27.0797,153.1586,83.28,64,54,24.79
191,Talnakh,RU,2022-01-21 01:50:22,69.4865,88.3972,10.51,95,100,13.24
192,Opuwo,NA,2022-01-21 01:50:22,-18.0607,13.84,66.58,78,100,2.04
193,Rocha,UY,2022-01-21 01:50:22,-34.4833,-54.3333,74.66,94,95,11.39
194,Taoudenni,ML,2022-01-21 01:50:23,22.6783,-3.9836,60.69,21,1,8.68
195,Basar,IN,2022-01-21 01:50:23,27.9833,94.6667,51.26,58,88,1.52
196,Atar,MR,2022-01-21 01:50:23,20.5169,-13.0499,71.24,15,100,9.08
197,Ostrovnoy,RU,2022-01-21 01:50:23,68.0531,39.5131,9.54,93,94,5.84
198,Talcahuano,CL,2022-01-21 01:50:24,-36.7167,-73.1167,58.68,77,0,11.5
199,Vaini,TO,2022-01-21 01:50:24,-21.2,-175.2,81.81,78,54,17.02
200,Port Hedland,AU,2022-01-21 01:50:24,-20.3167,118.5667,95.05,52,2,12.66
201,Warah,PK,2022-01-21 01:50:25,27.4481,67.7978,59.9,46,0,6.82
202,College,US,2022-01-21 01:50:25,64.8569,-147.8028,3.22,79,75,8.05
203,Chuy,UY,2022-01-21 01:50:25,-33.6971,-53.4616,74.7,95,38,10.33
204,Souillac,MU,2022-01-21 01:50:25,-20.5167,57.5167,80.98,89,75,14.97
205,Provideniya,RU,2022-01-21 01:50:25,64.3833,-173.3,1.51,66,0,13.42
206,Iracoubo,GF,2022-01-21 01:50:26,5.4802,-53.2011,76.89,90,66,12.39
207,Carnarvon,AU,2022-01-21 01:50:26,-24.8667,113.6333,98.67,23,0,14.97
208,Gweta,BW,2022-01-21 01:47:23,-20.1833,25.2333,72.45,36,100,11.52
209,Areka,ET,2022-01-21 01:50:26,7.0667,37.7,58.17,79,84,5.21
210,Beloha,MG,2022-01-21 01:50:27,-25.1667,45.05,68.68,89,25,8.57
211,Qaanaaq,GL,2022-01-21 01:50:27,77.484,-69.3632,15.1,84,100,4.25
212,Sechura,PE,2022-01-21 01:50:27,-5.5569,-80.8222,73.15,76,17,13.78
213,Sampit,ID,2022-01-21 01:50:27,-2.5333,112.95,77.61,87,100,3.36
214,Bukene,TZ,2022-01-21 01:50:28,-4.2333,32.8833,61.84,94,100,3.98
215,Beringovskiy,RU,2022-01-21 01:50:28,63.05,179.3167,-13.23,78,6,13.44
216,Nanortalik,GL,2022-01-21 01:48:46,60.1432,-45.2371,25.84,70,100,22.53
217,Feicheng,CN,2022-01-21 01:50:28,35.2606,117.9675,31.46,39,100,6.64
218,Santana Do Acarau,BR,2022-01-21 01:50:28,-3.4606,-40.2122,74.43,91,26,2.33
219,Conneaut,US,2022-01-21 01:50:29,41.9476,-80.5542,18.41,66,100,11.83
220,Adelaide,AU,2022-01-21 01:50:29,-34.9333,138.6,91.85,31,0,20.71
221,Matay,EG,2022-01-21 01:50:29,28.419,30.7792,43.95,66,0,6.51
222,Batticaloa,LK,2022-01-21 01:50:29,7.7102,81.6924,71.91,75,79,5.41
223,Katsuura,JP,2022-01-21 01:50:30,35.1333,140.3,42.91,41,84,22.24
224,Shingu,JP,2022-01-21 01:50:30,33.7333,135.9833,40.19,38,65,6.93
